elapsed time,receive time,header.stamp,topic,value
8.990766691,1683135533.440624615,,/pitch_error.data,-0.359330415725708
9.007438482,1683135533.457296406,,/pitch_error.data,-0.48902636766433716
9.113178511,1683135533.563036435,,/pitch_error.data,-0.5033490061759949
9.11992721,1683135533.569785134,,/pitch_error.data,-0.4709494709968567
9.130256644,1683135533.580114568,,/pitch_error.data,-0.42618829011917114
9.147211987,1683135533.597069911,,/pitch_error.data,-0.3843221664428711
9.171017159,1683135533.620875083,,/pitch_error.data,-0.3228199779987335
9.186201699,1683135533.636059623,,/pitch_error.data,-0.27551519870758057
9.211873973,1683135533.661731897,,/pitch_error.data,-0.2317434847354889
9.227938124,1683135533.677796048,,/pitch_error.data,-0.18732568621635437
9.249621818,1683135533.699479742,,/pitch_error.data,-0.13068486750125885
9.266529364,1683135533.716387288,,/pitch_error.data,-0.08932670950889587
9.291160623,1683135533.741018547,,/pitch_error.data,-0.04983371123671532
9.309056588,1683135533.758914512,,/pitch_error.data,-0.002922093728557229
9.328996352,1683135533.778854276,,/pitch_error.data,0.03362584859132767
9.347125514,1683135533.796983438,,/pitch_error.data,0.07086236029863358
9.368232377,1683135533.818090301,,/pitch_error.data,0.11039237678050995
9.386400537,1683135533.836258461,,/pitch_error.data,0.14808358252048492
9.411037043,1683135533.860894967,,/pitch_error.data,0.19373245537281036
9.431535242,1683135533.881393166,,/pitch_error.data,0.23052392899990082
9.450712361,1683135533.900570285,,/pitch_error.data,0.2661956250667572
9.467202816,1683135533.917060740,,/pitch_error.data,0.3027448356151581
9.491906667,1683135533.941764591,,/pitch_error.data,0.3516581356525421
9.51225562,1683135533.962113544,,/pitch_error.data,0.38953956961631775
9.532778005,1683135533.982635929,,/pitch_error.data,0.428147554397583
9.552336607,1683135534.002194531,,/pitch_error.data,0.4794403612613678
9.567868557,1683135534.017726481,,/pitch_error.data,0.5158778429031372
9.590846745,1683135534.040704669,,/pitch_error.data,0.5553896427154541
9.610576765,1683135534.060434689,,/pitch_error.data,0.6079813241958618
9.630188954,1683135534.080046878,,/pitch_error.data,0.6505959630012512
9.645927098,1683135534.095785022,,/pitch_error.data,0.6945398449897766
9.667848947,1683135534.117706871,,/pitch_error.data,0.6828385591506957
9.687880562,1683135534.137738486,,/pitch_error.data,0.6121494174003602
